table,reason,data_json,error
departments,skipped_existing,"{""code"": 0, ""description"": ""Sin departamento""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 2, ""description"": ""2%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 3, ""description"": ""3%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 4, ""description"": ""4%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 5, ""description"": ""5%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 6, ""description"": ""6%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 7, ""description"": ""7%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 8, ""description"": ""8%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 9, ""description"": ""9%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 10, ""description"": ""10%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 11, ""description"": ""11%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 12, ""description"": ""12%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 13, ""description"": ""13%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 15, ""description"": ""15%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 17, ""description"": ""17%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 18, ""description"": ""18%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 19, ""description"": ""19%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 20, ""description"": ""20%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 21, ""description"": ""21%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 22, ""description"": ""22%""}",UNIQUE constraint failed: departments.code
tickets,integrity_error,"{""ID"": 1, ""createdAt"": ""2024-10-25 09:46:49"", ""subTotal"": 34.0, ""total"": 100.0, ""profit"": 8.0, ""articleCount"": 1, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
